job_id,role,link,company,company_rating,reviews,exp_req,salary,locations,job_posted,domains
150523500049,Sr. Software Engineer,https://www.naukri.com/job-listings-sr-software-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-150523500049,Essenware Private Limted,NA,NA,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['open source', 'plsql', 'software engineering', 'software', 'operating systems', 'sr', 'bss', 'telecom']"
150523500048,Sr. Software Engineer,https://www.naukri.com/job-listings-sr-software-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-150523500048,Essenware Private Limted,NA,NA,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['software', 'debugging', 'autosar', 'sr', 'software testing', 'trace32', 'c', 'software engineering']"
150523500047,Tech Lead,https://www.naukri.com/job-listings-tech-lead-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-5-years-150523500047,Essenware Private Limted,NA,NA,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['ui', 'interfaces', 'design', 'technical leadership', 'technical', 'interface design', 'technical analysis', 'usage']"
150523500046,Technical Architect,https://www.naukri.com/job-listings-technical-architect-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-8-years-150523500046,Essenware Private Limted,NA,NA,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['technical', 'architecture', 'technical architecture', 'Technical Architect', 'Solution Architect']"
150523500045,Tech Lead,https://www.naukri.com/job-listings-tech-lead-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-8-years-150523500045,Essenware Private Limted,NA,NA,3-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['technical', 'microservices', 'core', 'java', 'technical analysis', 'technical leadership', 'Core Java', 'Technical Lead']"
150523500044,Program Manager,https://www.naukri.com/job-listings-program-manager-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-7-years-150523500044,Essenware Private Limted,NA,NA,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['project', 'j2ee', 'project management', 'program management', 'management', 'program', 'oracle', 'Manager Project Management']"
150523500042,Sr. Software Engineer,https://www.naukri.com/job-listings-sr-software-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-150523500042,Essenware Private Limted,NA,NA,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['selenium', 'automation', 'sr', 'software testing', 'software engineering', 'selenium testing', 'automation testing', 'software']"
150523500036,Tech Lead,https://www.naukri.com/job-listings-tech-lead-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-5-years-150523500036,Essenware Private Limted,NA,NA,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['technical', 'networking', 'agile', 'technical analysis', 'technical leadership', 'Technical Lead']"
150523500035,Sr. Software Engineer,https://www.naukri.com/job-listings-sr-software-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-150523500035,Essenware Private Limted,NA,NA,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['software engineering', 'software', 'end', 'front', 'sr', 'front end', 'backend', 'microservices']"
150523500034,Sr. Software Engineer,https://www.naukri.com/job-listings-sr-software-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-150523500034,Essenware Private Limted,NA,NA,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['dynamics', 'sr', 'ms dynamics crm', 'crm', 'software engineering', 'microsoft', 'microsoft dynamics', 'dynamic']"
